Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
21.01.2023,14:30,1BA2882,16,RİZE BELEDİYESİ,71 - 63,MELİKGAZİ KAYSERİ BASKETBOL,,RİZE,Rize Yenişehir Spor Salonu,Youtube / TBF TV,SERHAT BÜKER,AHMET MURAT ARIKANLI,FATMA ÖZTÜRK,ZELİHA BAYRAKTAR,SEHER AYDEMİR,MİRAÇ ASLANKAYA,ENES AKDEMİR,BİLAL AKYILDIZ,Rize Yenişehir Spor Salonu
21.01.2023,15:00,1BA2883,16,TUFAN METALURJİ HATAY BÜYÜKŞEHİR BELEDİYESPOR,75 - 84,NESİBE AYDIN,,HATAY,Hatay Merkez Spor Salonu,Youtube / TBF TV,BURAK YILMAZ,ABDULLAH KOPUTAN,METEHAN ALAÇAM,MUHAMMED DİYAÜDDİN SAĞIR,KADİR HANİFİ YILMAZ,YÜSRA BAKIRCI,GAMZE İNAL,MÜFİT ARSLAN,Hatay Merkez Spor Salonu
21.01.2023,15:30,1BA2881,16,OGM ORMANSPOR,90 - 70,BURSA ULUDAĞ BASKETBOL,,ANKARA,M. Sait Zarifoğlu Spor Salonu,Youtube / TBF TV,MEHMET SERDAR ÜNAL,ŞEYHMUS MELEK,HÜSEYİN ÇAMCI,DERYA ANTAŞ,MİNE MİHRİCAN KANBUR,FATİH ŞEN,YASEMİN YILDIRIM,ALİ MURAT SUNGUR,M. Sait Zarifoğlu Spor Salonu
21.01.2023,16:00,1BA2880,16,ÇBK MERSİN YENİŞEHİR BELEDİYESİ,67 - 59,EMLAK KONUT,,MERSİN,Servet Tazegül Spor Salonu,Youtube / TBF TV,ALPER ALTUĞ KÖSELERLİ,YİĞİT EMRE ŞİMŞEK,ALİ OSMAN KANIK,AHMET ÖZKAN,PERİHAN BONCUK,YELİZ KAZAN,AHMET ÖZDOĞAN,SABAHİTTİN KAZAN,Servet Tazegül Spor Salonu
21.01.2023,18:00,1BA2878,16,BEŞİKTAŞ,65 - 81,GALATASARAY ÇAĞDAŞ FAKTORING,,İSTANBUL,BJK Emlakjet Spor Kompleksi,"Youtube / TBF TV,SPORTSTV",MURAT CİNER,MÜNEVVER ÖZEMRE,DORUKHAN KALYONCU,ALİGÜRHAN UZUNAY,MEHMET NECATİ EROĞUL,MERT İĞDELİ,KEREM SIRMAGİL,LAL DENİZ ÇELİKER,BJK Emlakjet Spor Kompleksi
22.01.2023,14:00,1BA2884,16,ÇANKAYA ÜNİVERSİTESİ,76 - 77,ANTALYA TOROSLAR BASKETBOL,,ANKARA,Ankara Spor Salonu,"Youtube / TBF TV,SPORTSTV",GÖKSUN ÖZ,HALDUN ÇOBAN,MEHMET BURAK ANLATICI,ERGÜN GÜNGÖR,FİLİZ UYGUN,VEYSEL SİNAN TUNCER,SERCAN YILDIRIM,ANIL ENDER DURGUN,Ankara Spor Salonu
28.01.2023,13:00,1BA2891,17,ANTALYA TOROSLAR BASKETBOL,59 - 98,BOTAŞ,,ANTALYA,Kepez Turgut Özal Spor Salonu,Youtube / TBF TV,POLAT PARLAK,ÖNDER YILMAZ,SELENA GAMZE ÖGET ÇERÇİ,HÜSEYİN MERT  ÇİVİ,KEZİBAN KARTCA,BURHAN ÇİÇEK,DERYA YILDIZ,NASUH ÜZER,Kepez Turgut Özal Spor Salonu
28.01.2023,15:00,1BA2890,17,EMLAK KONUT,69 - 99,FENERBAHÇE ALAGÖZ HOLDİNG,,İSTANBUL,Başakşehir Spor Kompleksi,Youtube / TBF TV,ÖZLEM YALMAN,BENHÜR İRCEL,METEHAN ALAÇAM,RAHŞAN ŞEBNEM TÜMER,KÜBRA TOPAL,MERVE SAĞLAM,MEHMET KAPUCU,FATİH DEMİR,Başakşehir Spor Kompleksi
28.01.2023,16:00,1BA2887,17,NESİBE AYDIN,61 - 72,RİZE BELEDİYESİ,,ANKARA,TOBB ETÜ Spor Salonu ,Youtube / TBF TV,TOLGA EDİS,EYYÜP AYHAN,BARIŞ TURGUT,LÜTFİYE TAŞPINAR,ALPER KESEN,RESUL GEÇER,BİLAL UZGÖREN,TUNCER ULUŞEKER,TOBB ETÜ Spor Salonu
28.01.2023,16:30,1BA2889,17,BURSA ULUDAĞ BASKETBOL,85 - 90,ÇBK MERSİN YENİŞEHİR BELEDİYESİ,,BURSA,Naim Süleymanoğlu Spor Kompleksi,Youtube / TBF TV,UMUT ÖZGÜN ERGÜN,UĞUR AKYILDIZ,ALMİNA KOCABAŞ,EBRU ÖZTAŞKIRAN,ESRA SOLAK,TEOMAN ÖYLEK,BERNA EKBİÇ,ŞAFAK IRMAK SARAÇOĞLU,Naim Süleymanoğlu Spor Kompleksi
29.01.2023,13:00,1BA2888,17,MELİKGAZİ KAYSERİ BASKETBOL,85 - 79,OGM ORMANSPOR,,KAYSERİ,Kadir Has Kongre Merkezi Spor Salonu,"Youtube / TBF TV,SPORTSTV",HÜSEYİN ÇELİK,ANIL VEZİROĞLU,HASAN OK,MEHMET ONUR KARACA,SEVİM VURAL,İDRİS KARATAŞ,BÜLENT TOSUN,İSMAİL DULDA,Kadir Has Kongre Merkezi Spor Salonu
29.01.2023,13:00,1BA2885,17,ÇANKAYA ÜNİVERSİTESİ,73 - 66,BEŞİKTAŞ,,ANKARA,Ankara Spor Salonu,Youtube / TBF TV,ALPER ÖZGÖK,AHMET TANER İBİN,ÖZKAN TALO,ERDEM EFE,GÖZDE ÖZBEK,SİNA KÜÇÜKDİLEK,NİHAN ÜNSAL,İSMAİL FULSER,Ankara Spor Salonu
29.01.2023,16:00,1BA2886,17,GALATASARAY ÇAĞDAŞ FAKTORING,91 - 60,TUFAN METALURJİ HATAY BÜYÜKŞEHİR BELEDİYESPOR,,İSTANBUL,Ahmet Cömert Spor Salonu,"Youtube / TBF TV,SPORTSTV",CAN MAVİSU,YARKIN KESKİN,SABRİ GÜNDÜZ,ERSİN ÇELİK,KEREM SIRMAGİL,YUSUF YELESDAĞ,AYGÜN SEVGİL,NEŞE KIRAN,Ahmet Cömert Spor Salonu
3.02.2023,13:00,1BA2895,18,FENERBAHÇE ALAGÖZ HOLDİNG,101 - 74,BURSA ULUDAĞ BASKETBOL,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,Youtube / TBF TV,SİNEM TETİK AKBAYRAK,EYYÜP AYHAN,UMUT MEMİŞ,EMİR GÜNEY,BUKET ÖZDEMİR,ESER FIRIL,ALTAN CANDAN,SERCAN DEMİRÖREN,Fenerbahçe Metro Enerji Spor Salonu
3.02.2023,15:00,1BA2894,18,BOTAŞ,77 - 53,EMLAK KONUT,,ANKARA,Ankara Spor Salonu,Youtube / TBF TV,ORHAN ÇAĞRI HEKİMOĞLU,NİHAT ÇETİN,HÜSEYİN ÇAMCI,CUMHUR ARSLAN,SEÇİL ÇAPKINOĞLU,FATİH DEMİRCİ,HASAN BAŞKURT,ALİ MURAT SUNGUR,Ankara Spor Salonu
3.02.2023,18:00,1BA2896,18,ÇBK MERSİN YENİŞEHİR BELEDİYESİ,70 - 56,MELİKGAZİ KAYSERİ BASKETBOL,,MERSİN,Servet Tazegül Spor Salonu,Youtube / TBF TV,GÖKSUN ÖZ,MUHAMMED MURAT ZAFER,BURAK ERKAN,TURGAY KÖROĞLU,YELİZ KAZAN,NİL KİFAYET GÜRLÜ,ABUZER BİLEN,RAMAZAN ÖZYİĞİT,Servet Tazegül Spor Salonu
4.02.2023,13:00,1BA2893,18,TUFAN METALURJİ HATAY BÜYÜKŞEHİR BELEDİYESPOR,65 - 70,ÇANKAYA ÜNİVERSİTESİ,,HATAY,Hatay Merkez Spor Salonu,"Youtube / TBF TV,SPORTSTV",ALİ SERKAN EMLEK,AYDIN KARAÇAM,ŞEYHMUS MELEK,MELEK BANU MURSAL,SEVSEM RAMAZAN,ŞEYMA ÖZ TUZLUOĞLU,VİLDAN KÖROĞLU EZER,MÜFİT ARSLAN,Hatay Merkez Spor Salonu
4.02.2023,14:00,1BA2892,18,RİZE BELEDİYESİ,69 - 88,GALATASARAY ÇAĞDAŞ FAKTORING,,RİZE,Rize Yenişehir Spor Salonu,Youtube / TBF TV,AYTUĞ EKTİ,HAKAN GEREY,SAMET TEKİN,MEHMET SERDAR ÇÖZELİ,SEHER AYDEMİR,ENES AKDEMİR,ERKAN CAN BİROL,BİLAL AKYILDIZ,Rize Yenişehir Spor Salonu
4.02.2023,15:00,1BA2898,18,BEŞİKTAŞ,76 - 66,ANTALYA TOROSLAR BASKETBOL,,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,Youtube / TBF TV,EMİN MOĞULKOÇ,MESUT ÖZTÜRK,METİN EROL,BEKİR GENÇAL,PINAR YÜKSEL,ALPER LAÇİNKAYA,MERT İĞDELİ,OSMAN AŞIK,Akatlar Spor ve Kültür Kompleksi
4.02.2023,16:00,1BA2897,18,OGM ORMANSPOR,69 - 79,NESİBE AYDIN,,ANKARA,M. Sait Zarifoğlu Spor Salonu,"Youtube / TBF TV,SPORTSTV",SEHER AYŞE NUR YAZICIOĞLU,KEREM YILMAZ,FATMA ÖZTÜRK,DERYA ANTAŞ,MİNE MİHRİCAN KANBUR,FATİH DEMİRCİ,ALİ MURAT SUNGUR,SİBEL FAZLIOĞLU,M. Sait Zarifoğlu Spor Salonu
3.03.2023,00:00,1BA2899,19,BEŞİKTAŞ,20 - 0,TUFAN METALURJİ HATAY BÜYÜKŞEHİR BELEDİYESPOR,,İSTANBUL,BJK Emlakjet Spor Kompleksi,,,,,ZELİHA BAYRAKTAR,,,,,BJK Emlakjet Spor Kompleksi
